Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2022-02-02,17706.2,17794.6,17674.8,17780.0,-0.0123622047244094,0,0.011557816104706076,17381.76,17464.84,17766.917500000003,17435.848,-333.0499999999993,40.356864057098285,-29.18534807630931,14.643454243201793,0.01054784157297012
2022-02-03,17767.75,17781.15,17511.15,17560.2,-0.0024999715265202,0,-0.012362204724409409,17471.77,17427.02,17748.665,17438.751,-378.2000000000007,35.56351144406277,-26.56730261107441,6.4013028723465535,0.010766317738880673
2022-02-04,17590.2,17617.8,17462.55,17516.3,-0.0172810467964125,0,-0.0024999715265202616,17554.64,17402.95,17737.185,17438.352,-240.70000000000073,34.95799344982606,-27.715360407702974,-0.4220297836633522,0.010563810098821841
2022-02-07,17456.3,17536.75,17119.4,17213.6,0.0030876748617373,1,-0.017281046796412514,17529.39,17362.595,17707.23,17442.095,-403.5500000000029,29.793597459661058,-52.44599987334732,-10.826823801600145,0.011138957401559504
2022-02-08,17279.85,17306.45,17043.65,17266.75,0.0114121070844252,1,0.003087674861737222,17467.370000000003,17374.36,17670.4025,17446.351,117.65000000000146,33.51192331670828,-66.98429575243426,-22.058318191766972,0.010820234134555188
2022-02-09,17370.1,17477.15,17339.0,17463.8,0.0081339685520905,1,0.011412107084425305,17404.129999999997,17392.945,17640.805,17455.963,185.84999999999854,40.8335908529048,-61.892256389866816,-30.025105831386945,0.011185336934551406
2022-02-10,17554.1,17639.45,17427.15,17605.85,-0.0131263188088049,0,0.008133968552090476,17413.26,17442.515,17610.48,17464.742,495.6999999999971,47.035635136990315,-45.86581807002585,-33.19324827911473,0.011159880389035757
2022-02-11,17451.0,17454.75,17303.0,17374.75,-0.0306162678599692,0,-0.013126318808804993,17384.95,17469.795,17566.327500000003,17464.203999999998,272.7999999999993,45.41030787291246,-51.22213200097394,-36.79902502348657,0.01139985664616471
2022-02-14,17076.15,17099.5,16809.65,16842.8,0.0302592205571521,1,-0.030616267859969293,17310.79,17420.09,17495.68,17457.126,-497.0499999999993,44.337425127560465,-97.26970408931084,-48.893160836651425,0.013003527658178412
2022-02-15,16933.25,17375.0,16839.25,17352.45,-0.0017432696823791,0,0.030259220557152133,17327.93,17397.65,17447.8975,17465.93,-224.39999999999782,51.207298891553776,-91.58253459625121,-57.43103558857139,0.015041013614890655
2022-02-16,17408.45,17490.6,17257.7,17322.2,-0.0010160372239093,0,-0.001743269682379145,17299.61,17351.870000000003,17408.355,17468.84,-457.7999999999993,53.596689112403936,-88.49620482708997,-63.64406943627512,0.014920427058426836
2022-02-17,17396.55,17442.9,17235.85,17304.6,-0.0016354033031679,0,-0.0010160372239093052,17239.36,17326.309999999998,17376.665,17465.537,-255.60000000000218,53.42632513314731,-86.47362503840486,-68.20998055670107,0.014815964349749085
2022-02-18,17236.05,17380.8,17219.2,17276.3,-0.0040315345299628,0,-0.001635403303167915,17219.670000000002,17302.31,17352.629999999997,17460.726,-240.0,48.843557221625765,-86.16107819497847,-71.80020008435655,0.014683070083905276
2022-02-21,17192.25,17351.05,17070.7,17206.65,-0.0066514981126483,0,-0.004031534529962855,17292.44,17301.614999999998,17332.105,17454.633,-6.94999999999709,42.826415533077615,-90.49043803907625,-75.53824767530048,0.014617038970336449
2022-02-22,16847.95,17148.55,16843.8,17092.2,-0.0016937550461614,0,-0.006651498112648313,17240.39,17284.16,17329.26,17449.112,-174.54999999999927,36.197624016696125,-101.98107110167257,-80.8268123605749,0.01341823745936373
2022-02-23,17194.5,17220.7,17027.85,17063.25,-0.0477810499172197,0,-0.001693755046161427,17188.6,17244.105000000003,17318.525,17443.879,-400.5499999999993,39.20026078452679,-112.13092810396847,-87.08763550925363,0.013301416930592388
2022-02-24,16548.9,16705.25,16203.25,16247.95,0.0252616483925664,1,-0.047781049917219764,16977.27,17108.315,17275.415,17424.41,-1357.8999999999978,29.357290496883323,-183.84342657466914,-106.43879372233673,0.01691571296330889
2022-02-25,16515.65,16748.8,16478.3,16658.4,0.0081340344811026,1,0.025261648392566505,16853.690000000002,17036.68,17253.2375,17412.61,-716.3499999999985,41.270165728482084,-205.19090057223002,-126.1892150923154,0.018016541581542492
2022-02-28,16481.6,16815.9,16356.3,16793.9,-0.0111915636034512,0,0.008134034481102725,16771.140000000003,17031.79,17225.94,17408.784,-48.89999999999782,42.7527013564258,-208.76865483730217,-142.70510304131275,0.017807353370588853
2022-03-02,16593.1,16678.5,16478.65,16605.95,-0.0064976710155095,0,-0.011191563603451304,16673.890000000003,16957.14,17177.394999999997,17408.619,-746.5,36.815086915758606,-224.1857710867189,-159.001236650394,0.017562774877976122
2022-03-03,16723.2,16768.95,16442.95,16498.05,-0.0153169617015343,0,-0.006497671015509576,16560.85,16874.725,17113.297499999997,17403.163,-824.1500000000015,32.792792792792824,-242.3172921244477,-175.66444774520474,0.017253219548169125
